"Organisation Name",Website,ASN,"Peering Policy","IPv4 Address","IPv6 Address","MAC Address",Location,"Switch Port and VLAN","Port Type","Service Speed","Service Type","Peering LAN","Membership Type","Route Servers"
"01 Telecom Ltd",http://www.01t.co.uk,201933,Open,195.66.239.241,2001:7f8:4:1:0:3:14cd:1,8890.0971.e883,"Telehouse North (THN)","edge1-thn-lon2 xe18",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"01 Telecom Ltd",http://www.01t.co.uk,201933,Open,195.66.227.214,2001:7f8:4::3:14cd:1,b48a.5f5f.9057,"Telehouse North (THN)","edge2-thn xe-4/1/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"100 Percent IT",http://www.100percentit.com,20915,Open,195.66.225.213,2001:7f8:4::51b3:1,dc38.e1a7.2068,"Telehouse North (THN)","edge1-thn ge-8/0/1",1G,1G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
1310,http://www.1310.io,57793,"No data",195.66.226.157,2001:7f8:4::e1c1:1,8612.694b.3c9c,"Telehouse North (THN)","edge2-thn xe-2/3/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"23media GmbH",https://23m.com,47447,Open,195.66.227.70,2001:7f8:4::b957:1,fc96.4383.ac5f,"Telehouse West (THW)","core3-thw ae214 VLAN: 397",ConneXions,1G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"24Shells Inc",https://www.24shells.net/,55081,Open,195.66.227.116,2001:7f8:4::d729:1,d46d.5055.9822,"Telehouse North (THN)","edge3-thn xe-5/3/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"31173 Services AB",http://www.31173.se/,39351,Open,195.66.226.62,2001:7f8:4::99b7:1,b033.a669.783b,"Interxion LON2 (IN2)","edge1-in2 xe-8/3/3",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"34SP.com Ltd",http://www.34sp.com/,41357,Open,195.66.244.35,2001:7f8:4:2::a18d:1,ac1f.6b9e.13fe,"TeleData Delta House (TDD)","edge3-tdd-man1 xe1 VLAN: 2188",ConneXions,100M,ConneXions,man1,full,"rs1.man1, rs2.man1"
"4D Data Centres Ltd",http://www.4d-dc.com,31463,Selective,195.66.237.215,2001:7f8:4:1::7ae7:1,6c9c.ed7c.d183,"Telehouse East (THE)","edge2-the-lon2 xe28",1G,1G,Regular,lon2,"ConneXions,full","rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"4D Data Centres Ltd",http://www.4d-dc.com,31463,Selective,195.66.225.215,2001:7f8:4::7ae7:1,78ba.f939.faaa,"Telehouse North (THN)","edge3-thn xe-4/2/1 VLAN: 100",ConneXions,8G,ConneXions,lon1,"ConneXions,full","rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"8route SRL",http://,34428,Open,195.66.224.16,2001:7f8:4::867c:1,ac4b.c888.bb3c,"Telehouse North (THN)","edge2-thn xe-4/0/2 VLAN: 2000",ConneXions,1G,ConneXions,lon1,"ConneXions,full","rs1.lon1, rs3.lon1"
"Aamra Technologies Limited",https://www.aamra.com.bd/,58601,Open,195.66.227.59,2001:7f8:4::e4e9:1,0896.adab.aec4,"Telehouse North (THN)","core3-thn et-2/2/3 VLAN: 1560",ConneXions,10G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"AARNet Pty",http://,7575,Selective,195.66.236.81,2001:7f8:4:1::1d97:1,94bf.9437.3c24,"Equinix LD8 Harbour Exchange (TCH)","edge2-tch-lon2 xe29",10G,10G,Regular,lon2,full,"rs2.lon2, rs4.lon2"
"Abtec Network Systems",https://www.abtecnet.com/,199286,Open,195.66.239.216,2001:7f8:4:1:0:3:a76:1,985d.82b7.858f,"Telehouse West (THW)","edge2-thw-lon2 xe8",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Abtec Network Systems",https://www.abtecnet.com/,199286,Open,195.66.227.238,2001:7f8:4::3:a76:1,985d.82b7.6f97,"Telehouse North (THN)","edge2-thn xe-4/3/3",10G,10G,multiservice_port,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Academia Ltd",http://www.academia.co.uk,47704,Open,195.66.226.72,2001:7f8:4::ba58:1,dc38.e1f8.973b,"Telehouse North (THN)","edge1-thn xe-2/2/2",10G,10G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Academia Ltd",http://www.academia.co.uk,47704,Open,195.66.238.72,2001:7f8:4:1::ba58:1,88a2.5eb1.2ff0,"Telehouse North (THN)","edge4-thn-lon2 xe13",1G,1G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Access UK Ltd",http://,50292,Open,195.66.225.130,2001:7f8:4::c474:1,00c1.6440.001a,"Telehouse West (THW)","edge1-thw xe-9/3/2",10G,10G,Regular,lon1,full,
"Aceville PTE.LTD",https://www.tencent.com/en-us,132203,Open,195.66.227.125,2001:7f8:4::2:46b:1,4c6d.58d3.5aaf,"Equinix LD6 (EQ4)","edge4-eq4 et-4/1/2",100G,100G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Acme Internet Ltd",http://www.acme-internet.com/,51603,Open,195.66.225.59,2001:7f8:4::c993:1,b827.ebbc.3106,"Telehouse North (THN)","core4-thn et-2/4/1 VLAN: 1102",ConneXions,2G,ConneXions,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Acme Internet Ltd",http://www.acme-internet.com/,51603,Open,195.66.237.59,2001:7f8:4:1::c993:1,b827.ebbc.310a,"Telehouse North (THN)","edge2-thn-lon2 xe10 VLAN: 1202",ConneXions,1G,ConneXions,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Acora Ltd",http://www.veber.co.uk,29006,Open,195.66.236.95,2001:7f8:4:1::714e:1,ec38.73e9.1808,"Telehouse North2 (TH2)","edge1-th2-lon2 xe5",1G,1G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Acora Ltd",http://www.veber.co.uk,29006,Open,195.66.224.95,2001:7f8:4::714e:1,e4fc.8245.0800,"Telehouse North2 (TH2)","edge1-th2 ge-9/0/4",1G,1G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Acorus Networks",https://www.acorus-networks.com,35280,Selective,195.66.225.161,2001:7f8:4::89d0:1,44ec.ceee.d0ca,"Equinix LD6 (EQ4)","edge4-eq4 et-7/0/5",100G,100G,multiservice_port,lon1,full,"rs1.lon1, rs3.lon1"
"Acronis Limited",https://www.acronis.com/,202885,Selective,195.66.227.141,2001:7f8:4::3:1885:2,0033.0150.0003,"Telehouse North (THN)","core3-thn et-3/3/2",100G,100G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Actvision Blizzard UK Ltd",http://eu.blizzard.com/en-gb/,57976,Open,195.66.238.234,2001:7f8:4:1::e278:1,4c16.fc0b.618b,"Equinix LD4 (EQ4)","edge3-eq4-lon2 ce9/1",100G,100G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Actvision Blizzard UK Ltd",http://eu.blizzard.com/en-gb/,57976,Open,195.66.226.234,2001:7f8:4::e278:1,4c16.fc0b.6a8e,"Equinix LD6 (EQ4)","edge3-eq4 et-3/1/2",100G,100G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Actvision Blizzard UK Ltd",http://eu.blizzard.com/en-gb/,57976,Open,195.66.226.234,2001:7f8:4::e278:1,4c16.fc0b.6a8e,"Equinix LD6 (EQ4)","edge3-eq4 et-7/0/5",100G,100G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
Adista,http://www.adista.fr,16347,"No data",195.66.226.104,2001:7f8:4::3fdb:1,d46a.3599.2001,"Telehouse North (THN)","core3-thn ae211 VLAN: 13",ConneXions,10G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"Adobe Systems Incorporated",http://www.adobe.com,15224,"No data",195.66.225.147,2001:7f8:4::3b78:2,00a6.caaa.4fa5,"Equinix LD6 (EQ4)","edge5-eq4 xe-3/2/3",10G,10G,Regular,lon1,full,
"Adobe Systems Incorporated",http://www.adobe.com,15224,"No data",195.66.227.168,2001:7f8:4::3b78:1,00a6.caaa.50a5,"Equinix LD6 (EQ4)","edge5-eq4 xe-3/3/3",10G,10G,Regular,lon1,full,
"Advanced Wireless Network Co. Ltd.",http://www.awn.co.th/en/,45430,"No data",195.66.225.218,2001:7f8:4::b176:1,288a.1c64.6675,"Telehouse North (THN)","edge1-thn ge-7/1/4",1G,1G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
Advania,http://www.advania.com/,30818,"No data",195.66.224.6,2001:7f8:4::7862:1,a80c.0d7f.fc99,"Telehouse North (THN)","edge1-thn xe-5/0/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Afilias Limited",http://www.afilias.info,12041,"No data",195.66.224.55,2001:7f8:4::2f09:1,5c5e.ab0a.98f0,"Telehouse North (THN)","core4-thn et-2/2/0 VLAN: 838",ConneXions,1G,ConneXions,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Afilias Limited",http://www.afilias.info,12041,"No data",195.66.236.55,2001:7f8:4:1::2f09:1,5c5e.ab0a.98f0,"Telehouse East (THE)","edge2-the-lon2 xe20 VLAN: 839",ConneXions,1G,ConneXions,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
AFNIC,http://www.afnic.fr/,2484,"No data",195.66.227.3,2001:7f8:4::9b4:1,6487.885e.5f0d,"Telehouse North (THN)","edge1-thn ge-8/3/1",1G,1G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"AFR-IX Telecom",http://afr-ix.com/,60171,"No data",195.66.226.123,2001:7f8:4::eb0b:1,00c1.6437.8053,"Telehouse North (THN)","edge3-thn xe-2/0/1",10G,10G,Regular,lon1,"ConneXions,full","rs1.lon1, rs3.lon1"
"Agile Solutions Provider (Pty) Ltd",http://www.agilesp.co.za,328748,"No data",195.66.227.100,2001:7f8:4::5:42c:1,2cc8.1bb7.12f0,"Telehouse North (THN)","core3-thn ae204.0 VLAN: 1768",ConneXions,1G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"Airband Community Internet Ltd",http://www.airband.co,203568,"No data",195.66.227.36,2001:7f8:4::3:1b30:1,58ac.7850.ff00,"Telehouse North (THN)","edge1-thn xe-5/3/0",10G,10G,Regular,lon1,full,"rs1.lon1, rs1.man1, rs2.lon2, rs2.man1, rs3.lon1, rs4.lon2"
"Airband Community Internet Ltd",http://www.airband.co,203568,"No data",195.66.244.101,2001:7f8:4:2:0:3:1b30:1,24e9.b39a.9430,"Equinix MA3 Joule House (TCJ)","edge2-tcj-man1 xe13",10G,10G,Regular,man1,full,"rs1.lon1, rs1.man1, rs2.lon2, rs2.man1, rs3.lon1, rs4.lon2"
"Airband Community Internet Ltd",http://www.airband.co,203568,"No data",195.66.239.36,2001:7f8:4:1:0:3:1b30:1,00c8.8b49.8902,"Telehouse North (THN)","edge3-thn-lon2 xe7",1G,1G,Regular,lon2,full,"rs1.lon1, rs1.man1, rs2.lon2, rs2.man1, rs3.lon1, rs4.lon2"
"Airbeam S.r.l.",http://,50877,"No data",195.66.227.183,2001:7f8:4::c6bd:1,d0dd.49a7.4100,"Telehouse North (THN)","edge2-thn xe-9/0/2 VLAN: 12",ConneXions,1G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
